ename1,ename2
Y,水平坐标轴
Z,坐标轴
至,宽度
承载能力,设计
补充电源,绿色能源
一级负荷,牵引用电负荷
避雷线,接触网架空地线
抑制,原则
减少,原则
排流网,结构钢筋
不接地系统,直流牵引供电系统
900mm,通道净距
一级负荷,用电负荷
二级负荷,用电负荷
一级,负荷等级
系统,综合监控系统
基础,运营管理需求
工业级网络,设备
控制产品,设备
一级负荷,供电负荷
技术先进,乘客信息系统
经济合理,乘客信息系统
简洁实用,乘客信息系统
二级负荷,负荷等级
员工卡,授权卡
防灾和应急指挥中心,控制中心
低廉,运营成本
线路短,管线敷设
交叉少,管线敷设
双扇中分门,开门宽度
0.15m/s,额定速度
直线,停靠方式
90°,停靠方式
180°,停靠方式
远期列车编组数,数量
可靠锁闭,滑动门
可靠锁闭,应急门
可靠锁闭,端门
专用钥匙开启,站台侧
硬线传输,关键命令
硬线传输,响应
一级负荷,供电
困难,远期扩建
宜为1.3m～1.5m,坑深
不应小于下式的计算值,长度
贯通式库型,车辆段
贯通式库型,停车场
贯通式库型,运用库
复合墙,侧墙
合建式,地面出入口
独立式,地面出入口
附加力,荷载
A类工程,特殊结构桥梁
B类工程,其他桥梁
胶凝材料,硅酸盐水泥
悬臂构件,L0
重点设防类,抗震设防类别
